algorithm,sweep_tag,sweep_value,sum_rate_bps_per_hz_mean,weighted_sum_rate_mean,sum_rate_bps_per_hz_p50,sum_rate_bps_per_hz_p05,sum_rate_bps_per_hz_p95,fs_outage_prob_any,worst_fs_excess_mean,mean_positive_fs_excess,cvar95_fs_excess,power_violation_mean,active_subband_fraction_mean,runtime_ms_mean,mean_delay_spread_ns,blocked_subband_fraction_mean
budget_aware_primal_dual_unfolded,fs_in_target_db,-10.0,15.684043407440186,15.684043407440186,15.684043407440186,15.684043407440186,15.684043407440186,0.5,3.021265149116516,0.8795021772384644,3.5180087089538574,0.0,0.9166666865348816,337.60452806018293,67.17339706420898,0.08333331346511841
budgeted_primal_dual_pgd,fs_in_target_db,-10.0,15.78502607345581,15.78502607345581,15.78502607345581,15.78502607345581,15.78502607345581,0.5,191.7318373322487,48.03919219970703,192.15676879882812,0.0,0.9166666865348816,297.34510998241603,67.17339706420898,0.08333331346511841
budgeted_primal_dual_pgd_repair,fs_in_target_db,-10.0,12.267430782318115,12.267430782318115,12.267430782318115,12.267430782318115,12.267430782318115,0.0,-0.49040839076042175,0.0,0.0,0.0,0.9166666865348816,381.68771797791123,67.17339706420898,0.08333331346511841
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-10.0,13.754513263702393,13.754513263702393,13.754513263702393,13.754513263702393,13.754513263702393,0.0,-0.49040839076042175,0.0,0.0,0.0,0.9166666865348816,500.37033832632005,67.17339706420898,0.08333331346511841
rate_recovered_primal_dual_unfolded,fs_in_target_db,-10.0,14.480700969696045,14.480700969696045,14.480700969696045,14.480700969696045,14.480700969696045,0.0,-0.48278242349624634,0.0,0.0,0.0,0.9166666865348816,541.6347719728947,67.17339706420898,0.08333331346511841
risk_neutral_pgd,fs_in_target_db,-10.0,17.71458625793457,17.71458625793457,17.71458625793457,17.71458625793457,17.71458625793457,1.0,1390.5215454101562,348.1873474121094,1390.5215454101562,0.0,1.0,145.12551994994283,67.17339706420898,0.08333331346511841
static_notch_mf,fs_in_target_db,-10.0,10.142637252807617,10.142637252807617,10.142637252807617,10.142637252807617,10.142637252807617,0.5,7.920399844646454,2.0911684036254883,8.364673614501953,6.622738357719982e-09,0.9166666865348816,10.526052908971906,67.17339706420898,0.08333331346511841
wideband_pgd,fs_in_target_db,-10.0,13.735992908477783,13.735992908477783,13.735992908477783,13.735992908477783,13.735992908477783,0.5,152.13554546236992,38.14653396606445,152.5861358642578,0.0,0.9166666865348816,147.09172816947103,67.17339706420898,0.08333331346511841
legacy_budget_dual,fs_in_target_db,-6.0,51.32197093963623,51.32197093963623,51.32197093963623,51.32197093963623,51.32197093963623,0.0,-0.9946907183689475,0.0,0.0,0.0,,,,
legacy_budget_dual,fs_in_target_db,-10.0,66.96042251586914,66.96042251586914,66.96042251586914,66.96042251586914,66.96042251586914,0.0,-0.9995312019212008,0.0,0.0,0.0,,,,
legacy_budget_dual,fs_in_target_db,-14.0,52.86515045166016,52.86515045166016,52.86515045166016,52.86515045166016,52.86515045166016,0.0,-0.9995220984201294,0.0,0.0,0.0,,,,
legacy_hard_null,fs_in_target_db,-6.0,28.57234668731689,28.57234668731689,28.57234668731689,28.57234668731689,28.57234668731689,0.0,-0.999999990455295,0.0,0.0,0.0,,,,
legacy_hard_null,fs_in_target_db,-10.0,48.75164794921875,48.75164794921875,48.75164794921875,48.75164794921875,48.75164794921875,0.0,-0.9999998663093687,0.0,0.0,0.0,,,,
legacy_hard_null,fs_in_target_db,-14.0,47.52124786376953,47.52124786376953,47.52124786376953,47.52124786376953,47.52124786376953,0.0,-0.9999999980066719,0.0,0.0,0.0,,,,
legacy_no_fs,fs_in_target_db,-6.0,46.79299831390381,46.79299831390381,46.79299831390381,46.79299831390381,46.79299831390381,1.0,41.7600577359928,41.7600577359928,41.7600577359928,0.0,,,,
legacy_no_fs,fs_in_target_db,-10.0,72.92619323730469,72.92619323730469,72.92619323730469,72.92619323730469,72.92619323730469,1.0,24280.331134966917,24280.331134966917,24280.331134966917,0.0,,,,
legacy_no_fs,fs_in_target_db,-14.0,49.10936737060547,49.10936737060547,49.10936737060547,49.10936737060547,49.10936737060547,1.0,59.971517806589,59.971517806589,59.971517806589,0.0,,,,
