algorithm,sweep_tag,sweep_value,sum_rate_bps_per_hz_mean,weighted_sum_rate_mean,sum_rate_bps_per_hz_p50,sum_rate_bps_per_hz_p05,sum_rate_bps_per_hz_p95,fs_outage_prob_any,worst_fs_excess_mean,mean_positive_fs_excess,cvar95_fs_excess,power_violation_mean,active_subband_fraction_mean,runtime_ms_mean,mean_delay_spread_ns,blocked_subband_fraction_mean
budget_aware_primal_dual_unfolded,fs_in_target_db,-10.0,17.17359972000122,17.17359972000122,17.17359972000122,17.17359972000122,17.17359972000122,1.0,15473.966369628906,3909.7469635009766,15473.966369628906,0.0,0.9166666865348816,413.0007199710235,67.1247787475586,0.08333331346511841
budgeted_primal_dual_pgd,fs_in_target_db,-10.0,10.412498950958252,10.412498950958252,10.412498950958252,10.412498950958252,10.412498950958252,1.0,107771.4453125,27067.1328125,107771.4453125,0.0,0.9166666865348816,297.38953401101753,67.1247787475586,0.08333331346511841
budgeted_primal_dual_pgd_repair,fs_in_target_db,-10.0,2.425513833761215,2.425513833761215,2.425513833761215,2.425513833761215,2.425513833761215,0.0,-0.003000229597091675,0.0,0.0,0.0,0.9166666865348816,385.837709531188,67.1247787475586,0.08333331346511841
budgeted_primal_dual_pgd_repair_recover,fs_in_target_db,-10.0,11.088150024414062,11.088150024414062,11.088150024414062,11.088150024414062,11.088150024414062,0.0,-0.002017498016357422,0.0,0.0,0.0,0.9166666865348816,505.7238070294261,67.1247787475586,0.08333331346511841
rate_recovered_primal_dual_unfolded,fs_in_target_db,-10.0,8.436994314193726,8.436994314193726,8.436994314193726,8.436994314193726,8.436994314193726,0.0,-0.003000199794769287,0.0,0.0,0.0,0.9166666865348816,623.0929724988528,67.1247787475586,0.08333331346511841
risk_neutral_pgd,fs_in_target_db,-10.0,16.570998668670654,16.570998668670654,16.570998668670654,16.570998668670654,16.570998668670654,1.0,8796.351577758789,2216.473159790039,8796.351577758789,0.0,1.0,145.01797000411898,67.1247787475586,0.08333331346511841
static_notch_mf,fs_in_target_db,-10.0,10.438053131103516,10.438053131103516,10.438053131103516,10.438053131103516,10.438053131103516,1.0,2953.7515716552734,778.5417747497559,2953.7515716552734,1.9868215073159945e-08,0.9166666865348816,10.495889990124851,67.1247787475586,0.08333331346511841
wideband_pgd,fs_in_target_db,-10.0,5.072905540466309,5.072905540466309,5.072905540466309,5.072905540466309,5.072905540466309,1.0,79814.03442382812,20777.53790283203,79814.03442382812,0.0,0.9166666865348816,146.97089605033398,67.1247787475586,0.08333331346511841
legacy_budget_dual,fs_in_target_db,-6.0,51.32197093963623,51.32197093963623,51.32197093963623,51.32197093963623,51.32197093963623,0.0,-0.9946907183689475,0.0,0.0,0.0,,,,
legacy_budget_dual,fs_in_target_db,-10.0,66.96042251586914,66.96042251586914,66.96042251586914,66.96042251586914,66.96042251586914,0.0,-0.9995312019212008,0.0,0.0,0.0,,,,
legacy_budget_dual,fs_in_target_db,-14.0,52.86515045166016,52.86515045166016,52.86515045166016,52.86515045166016,52.86515045166016,0.0,-0.9995220984201294,0.0,0.0,0.0,,,,
legacy_hard_null,fs_in_target_db,-6.0,28.57234668731689,28.57234668731689,28.57234668731689,28.57234668731689,28.57234668731689,0.0,-0.999999990455295,0.0,0.0,0.0,,,,
legacy_hard_null,fs_in_target_db,-10.0,48.75164794921875,48.75164794921875,48.75164794921875,48.75164794921875,48.75164794921875,0.0,-0.9999998663093687,0.0,0.0,0.0,,,,
legacy_hard_null,fs_in_target_db,-14.0,47.52124786376953,47.52124786376953,47.52124786376953,47.52124786376953,47.52124786376953,0.0,-0.9999999980066719,0.0,0.0,0.0,,,,
legacy_no_fs,fs_in_target_db,-6.0,46.79299831390381,46.79299831390381,46.79299831390381,46.79299831390381,46.79299831390381,1.0,41.7600577359928,41.7600577359928,41.7600577359928,0.0,,,,
legacy_no_fs,fs_in_target_db,-10.0,72.92619323730469,72.92619323730469,72.92619323730469,72.92619323730469,72.92619323730469,1.0,24280.331134966917,24280.331134966917,24280.331134966917,0.0,,,,
legacy_no_fs,fs_in_target_db,-14.0,49.10936737060547,49.10936737060547,49.10936737060547,49.10936737060547,49.10936737060547,1.0,59.971517806589,59.971517806589,59.971517806589,0.0,,,,
